521,-515,1702,-1007,1022,1704
554,-417,1676,851,558,1357
611,-291,1638,1012,549,5605
568,-153,1312,1419,1075,7671
122,-403,637,3620,1682,-3986
287,-582,1446,-6005,2318,-7505
477,168,1242,-5194,-1909,8918
1225,-116,1757,-2005,-743,13107
2089,-157,2419,-14179,-4571,21184
-932,-844,1534,16928,1508,-32768
-1136,-637,114,26823,15020,-4418
-1271,-1064,1632,-21592,4321,-19376
-1143,-3937,4576,-32768,20372,-23403
-2775,-1692,1038,10045,-360,-4055
-1128,-508,1427,804,6497,3998
-1547,-1079,1141,1722,-1833,189
-1211,-1123,1049,-1300,-969,-1598
-1352,-1022,1005,-365,515,-73
-1270,-1064,1067,619,-930,-420
-1277,-957,936,-275,295,61
-1271,-957,973,-354,159,-16
-1311,-996,1078,-106,-395,-385
-1261,-950,987,-198,9,-57
-1288,-1050,917,-306,-366,-422
-1262,-1016,1024,55,-313,-210
-1253,-1071,1082,137,-455,-373
-1253,-1000,1041,-8,-109,-167
-1236,-1007,1041,-566,0,-359
-1234,-1069,1094,-434,-299,-246
-1247,-1031,1066,-442,374,-54
-1234,-1037,1024,44,-497,-500
